brand, product_name, shipping
Acer America,Acer ET322QK 32” 4K UHD LED Monitor -  3840x2160 -  10bit Color -  HDR Ready -  HDMI 2.0 -  DisplayPort -  AMD Freesync -  Picture-in-Picture,Free Shipping
LG Electronics,LG 43UD79-B 42.5" 4K UHD LED IPS Monitor -  3840 x 2160 -  HDCP -  USB Type C -  4x HDMI -  DisplayPort On-Screen control -  Screen Split -  Built-in Speakers,Free Shipping
ASUS,Asus ROG PG27AQ Black 27” 4K/UHD 3840X2160 IPS NVIDIA G-Sync Gaming Monitor with GamingPlus and Gaming Visual Technology -  built in speakers  -  Tilt - Swivel - Pivot - Height Adjustable,Free Shipping
ASUS,ASUS ROG Swift PG27UQ 27" 4K UHD 144Hz DP HDMI G-SYNC HDR Aura Sync Gaming Monitor with Eye Care,Free Shipping
Acer America,Acer UM.SE0AA.001 48.5" 4ms (G to G) HDMI LED Backlight LCD/LED Monitor,Free Shipping
ASUS,ASUS MG28UQ Black 28" 1ms (GTG) 4K UHD Adaptive-Sync (Free Sync) Gaming Monitor -  3840 x 2160  -  W/ Asus Excusive GamePlus and Flicker free Technology -  Pivot &Height Adjustment -  Built-in Speakers,Free Shipping
LG Electronics,LG 32MU59-B 31.5" 3840 x 2160 4K UHD AMD FreeSync Gaming Monitor Speakers HDMI,Free Shipping
LG Electronics,LG 32MU99-W 31.5" 3840 x 2160 4K UHD IPS LED Monitor with HDR10 HDMI -  DisplayPort -  USB-C Built-in Speakers,Free Shipping
BenQ,BenQ PD3200U Black 32" 4ms (GTG) 3840 x 2160 4K IPS Monitor -  Dual Built-in Speakers -  VESA Mountable -  Height Adjustable -  DualView function -  USB 3.0,Free Shipping
DELL,Dell UP2718Q Black 27" 6ms (GTG) HDMI Widescreen LED Backlight UltraSharp 4K HDR Monitor,Free Shipping
AOC Monitors,AOC C4008VU8 White / Silver 40" Curved 4K UHD Display with 10-Bit Color 5ms HDMI Widescreen LED Backlight LCD Monitor,Free Shipping
ASUS,ASUS MX27UC Icicle Gold + Black 27" 5ms (GTG) HDMI LCD Monitor,Free Shipping
ASUS,ASUS ProArt PA329Q Black 32" 5ms (GTG) HDMI Widescreen LED Backlight LED Monitor IPS,Free Shipping
Acer America,Acer H7 H277HK smidppx 27" IPS 4ms (GTG) 3840 x 2160 4K Black/Sliver Widescreen LED Backlight LCD/LED Monitor 350 cd/m2 -  HDMI -  DVI -  DisplayPort -  Built-in Speakers,Free Shipping
ASUS,Asus Professional – Grade ProArt PA328Q Black 32’’ 6ms (GTG) 4K /UHD 3840X2160 IPS  LED Backlight LCD Monitor -  Ergonomically-designed stand with Tilt - Swivel - Pivot - Height Adjustable -  built in Speakers,Free Shipping
BenQ,BenQ BL2711U 27" 4K IPS Monitor -  100% Rec. 709 and sRGB -  4 ms (GTG) -  20M:1 DCR -  Height Adjustable -  CAD/CAM and Animation Mode -  VESA Ready,Free Shipping
ViewSonic,ViewSonic VG2860MHL-4K 28" 3840 x 2160(4K) TN Monitor -  1000:1 -  300cd/m2 -  USB&HDMI&DVI-D Display Port -  Built-in Internal Speaker -  VESA Mountable,Free Shipping
LG Electronics,LG UltraFine 27MD5KB-B Black 27" 5K WFHD IPS LED Monitor -   500 cd/m2 -  Thunderbolt -  Tilt -  Height Adjustable -  VESA Compatible,Free Shipping
ViewSonic,ViewSonic XG2700-4K 27" 3840 x 2160(4K) Ultra HD IPS Free Sync Gaming 4K Monitor -  1000:1 -  300cd/m2 -  USB -  HDMI -  Display Port -   Height -  Pivot -  Title and Swivel adjustable -  VESA Mountable,Free Shipping
DELL,Dell U2718Q 27" 16:9 UltraSharp InfinityEdge 4K UHD 3840x2160 IPS HDR 350 cd/m² Monitor DP -  Mini DP -  HDMI -  USB 3.0 HUB -  Height Adjustment Pivot Swivel,Free Shipping
SAMSUNG,SAMSUNG U32J590 LU32J590UQNXZA Dark Blue Gray 31.5" 4ms (GTG) HDMI Widescreen LCD/LED Monitor,Free Shipping
LG Electronics,LG 32UD99-W 32" LED LCD Monitor - 16:9 - 5 ms,$24.72 Shipping
LG Electronics,LG High Glossy White - Silver Spray - Textured Black 27" 5ms HDMI LED Backlight LCD Monitor,Free Shipping
Acer America,Acer B6 Series B286HK ymjdpprz (UM.PB6AA.003) Black 28" 4K UHD (3840 x 2160) 2ms Widescreen LED Backlight LCD Monitor 300 cd/m2 ACM 100 - 000 - 000:1 (1000:1) Built-in Speakers,Free Shipping
BenQ,BenQ SW320 31.5" 4K Photographer Monitor -  HDR -  99% AdobeRGB -  100% Rec.709 -  DCI-P3 -  HW Calibration -  14-bit 3D LUT -  GamutDuo -  HDMI -  VESA,Free Shipping
LG Electronics,LG 27UD68-P 27" FreeSync IPS LED Monitor 4K UHD 3840 x 2160 16:9 Widescreen 5ms (GTG) On-Screen Control with Screen Split Game Mode & Black Stabilizer HDMI DisplayPort,Free Shipping
Acer America,Acer ProDesigner PE320QK bmiipruzx UM.JP0AA.001 31.5" UHD 3840 x 2160  4ms HDMI Widescreen LED Backlight LCD/LED Monitor,Free Shipping
SAMSUNG,Samsung U28E590D 28" LED LCD Monitor - 16:9 - 1 ms,$17.76 Shipping
ViewSonic,ViewSonic VP2780-4K Black 27" 5ms HDMI Widescreen LED Backlight LCD Monitor IPS,Free Shipping
DELL,Dell UP3216Q Black 32" 6ms HDMI Widescreen LED Backlight LED Monitor,Free Shipping
DELL,Dell P2415Q 24” Ultra IPS HD 4K Monitor 3840 x 2160 300 cd/m2 DC 2 - 000 - 000:1 (1000:1),Free Shipping
NEC Display Solutions,NEC EA275UHD-BK 27" 4K Monitor -  3840 x 2160 -  1000:1 -  350cd/m2 -  DVI&HDMI&USB Display Port -  Built-in Speaker,$3.99 Shipping
Acer America,Acer  B6  B326HK YMJDPPHZ  Black  32"  6ms 4k HD Widescreen LED Backlight LCD Monitor IPS,Free Shipping
ViewSonic,ViewSonic XG3220 31.5" 4K UHD 3840x2160 w/ AMD FreeSync Dual Speakers Gaming Monitor -  300 cd/m2 -  HDMI 2.0 DisplayPort,Free Shipping
Acer America,Acer B276HK 27" LED LCD Monitor - 16:9 - 6 ms,$11.66 Shipping
HP,HP Business Z27s 27" LED LCD Monitor - 16:9 - 6 ms,$4.99 Shipping
